province,county,city
آذربایجان شرقی,آذرشهر,آذرشهر
آذربایجان شرقی,آذرشهر,تیمورلو
آذربایجان شرقی,آذرشهر,گوگان
آذربایجان شرقی,آذرشهر,ممقان
آذربایجان شرقی,اسکو,اسکو
آذربایجان شرقی,اسکو,ایلخچی
آذربایجان شرقی,اسکو,سهند
آذربایجان شرقی,اهر,اهر
آذربایجان شرقی,اهر,هوراند
آذربایجان شرقی,بستان آباد,بستان آباد
آذربایجان شرقی,بستان آباد,تیکمه داش
آذربایجان شرقی,بناب,بناب
آذربایجان شرقی,تبریز,باسمنج
آذربایجان شرقی,تبریز,تبریز
آذربایجان شرقی,تبریز,خسروشاه
آذربایجان شرقی,تبریز,سردرود
آذربایجان شرقی,جلفا,جلفا
آذربایجان شرقی,جلفا,سیه رود
آذربایجان شرقی,جلفا,هادیشهر
آذربایجان شرقی,چاراویماق,قره آغاج
آذربایجان شرقی,خداآفرین,خمارلو
آذربایجان شرقی,سراب,دوزدوزان
آذربایجان شرقی,سراب,سراب
آذربایجان شرقی,سراب,شربیان
آذربایجان شرقی,سراب,مهربان
آذربایجان شرقی,شبستر,تسوج
آذربایجان شرقی,شبستر,خامنه
آذربایجان شرقی,شبستر,سیس
آذربایجان شرقی,شبستر,شبستر
آذربایجان شرقی,شبستر,شرفخانه
آذربایجان شرقی,شبستر,شندآباد
آذربایجان شرقی,شبستر,صوفیان
آذربایجان شرقی,شبستر,کوزه کنان
آذربایجان شرقی,شبستر,وایقان
آذربایجان شرقی,عجب شیر,جوان قلعه
آذربایجان شرقی,عجب شیر,عجب شیر
آذربایجان شرقی,کلیبر,آبش احمد
آذربایجان شرقی,کلیبر,کلیبر
آذربایجان شرقی,مراغه,خداجو(خراجو)
آذربایجان شرقی,مراغه,مراغه
آذربایجان شرقی,مرند,بناب مرند
آذربایجان شرقی,مرند,زنوز
آذربایجان شرقی,مرند,کشکسرای
آذربایجان شرقی,مرند,مرند
آذربایجان شرقی,مرند,یامچی
آذربایجان شرقی,ملکان,لیلان
آذربایجان شرقی,ملکان,مبارک شهر
آذربایجان شرقی,ملکان,ملکان
آذربایجان شرقی,میانه,آقکند
آذربایجان شرقی,میانه,اچاچی
آذربایجان شرقی,میانه,ترک
آذربایجان شرقی,میانه,ترکمانچای
آذربایجان شرقی,میانه,میانه
آذربایجان شرقی,ورزقان,خاروانا
آذربایجان شرقی,ورزقان,ورزقان
آذربایجان شرقی,هریس,بخشایش
آذربایجان شرقی,هریس,خواجه
آذربایجان شرقی,هریس,زرنق
آذربایجان شرقی,هریس,کلوانق
آذربایجان شرقی,هریس,هریس
آذربایجان شرقی,هشترود,نظرکهریزی
آذربایجان شرقی,هشترود,هشترود
آذربایجان غربی,ارومیه,ارومیه
آذربایجان غربی,ارومیه,سرو
آذربایجان غربی,ارومیه,سیلوانه
آذربایجان غربی,ارومیه,قوشچی
آذربایجان غربی,ارومیه,نوشین
آذربایجان غربی,اشنویه,اشنویه
آذربایجان غربی,اشنویه,نالوس
آذربایجان غربی,بوکان,بوکان
آذربایجان غربی,بوکان,سیمینه
آذربایجان غربی,پلدشت,پلدشت
آذربایجان غربی,پلدشت,نازک علیا
آذربایجان غربی,پیرانشهر,پیرانشهر
آذربایجان غربی,پیرانشهر,گردکشانه
آذربایجان غربی,تکاب,تکاب
آذربایجان غربی,چالدران,آواجیق
آذربایجان غربی,چالدران,سیه چشمه
آذربایجان غربی,چایپاره,قره ضیاءالدین
آذربایجان غربی,خوی,ایواوغلی
آذربایجان غربی,خوی,خوی
آذربایجان غربی,خوی,دیزج دیز
آذربایجان غربی,خوی,زرآباد
آذربایجان غربی,خوی,فیرورق
آذربایجان غربی,خوی,قطور
آذربایجان غربی,سردشت,ربط
آذربایجان غربی,سردشت,سردشت
آذربایجان غربی,سردشت,میرآباد
آذربایجان غربی,سلماس,تازه شهر
آذربایجان غربی,سلماس,سلماس
آذربایجان غربی,شاهین دژ,شاهین دژ
آذربایجان غربی,شاهین دژ,کشاورز
آذربایجان غربی,شاهین دژ,محمودآباد
آذربایجان غربی,شوط,شوط
آذربایجان غربی,شوط,مرگنلر
آذربایجان غربی,ماکو,بازرگان
آذربایجان غربی,ماکو,ماکو
آذربایجان غربی,مهاباد,خلیفان
آذربایجان غربی,مهاباد,مهاباد
آذربایجان غربی,میاندوآب,باروق
آذربایجان غربی,میاندوآب,چهاربرج
آذربایجان غربی,میاندوآب,میاندوآب
آذربایجان غربی,نقده,محمدیار
آذربایجان غربی,نقده,نقده
اردبیل,اردبیل,اردبیل
اردبیل,اردبیل,هیر
اردبیل,بیله سوار,بیله سوار
اردبیل,بیله سوار,جعفرآباد
اردبیل,پارس آباد,اسلام اباد
اردبیل,پارس آباد,اصلاندوز
